Pickup_longitude,Pickup_latitude,Dropoff_longitude,Dropoff_latitude
-73.94080353,40.81415558,-73.94488525,40.80845642
-73.94418335,40.81455612,-73.95509338,40.82703781
-73.95957947,40.65435791,-74.00286865,40.74238968
-73.95665741,40.70802689,-73.80007935,40.70259476
-73.98714447,40.68781662,-73.96255493,40.68069458
-73.89126587,40.74683762,-73.8704071,40.76082611
-73.91555023,40.67418671,-73.87766266,40.67036438
-73.93791962,40.80461121,-73.95257568,40.81080627
-73.94664764,40.68249893,-73.94962311,40.68255997
-73.95536041,40.72477341,-73.99584198,40.69523621
-73.88975525,40.74713516,-73.87296295,40.76106644
-73.93732452,40.84875107,-73.97611237,40.86050797
-73.83345795,40.67347336,-73.87081909,40.68185043
-73.94808197,40.80895233,-73.93841553,40.82469559
-73.97250366,40.67728043,-74.02348328,40.62755203
-73.92146301,40.76661301,-73.91358185,40.76429749
-73.91266632,40.75603104,-73.86755371,40.76158142
-73.82719421,40.85319138,-73.91442871,40.8081665
-73.91153717,40.77552032,-73.91441345,40.78542328
-73.9805069,40.67639542,-73.98040009,40.67717361
-73.87529755,40.74609756,-73.79167938,40.71048737
-73.91887665,40.76577759,-73.86090851,40.74910355
-73.95828247,40.71734619,-73.95420074,40.72615051
-73.95770264,40.7179718,-73.95701599,40.72203445
-73.89149475,40.74700928,-73.85887146,40.75655365
-73.94940186,40.69591141,-73.92241669,40.70702362
-73.95761108,40.71793365,-73.96620178,40.71295166
-73.9536972,40.67002106,-73.88265991,40.67858887
-73.95806885,40.72193909,-73.95752716,40.72947311
-73.89072418,40.74693298,-73.77873993,40.73887253
-73.95217133,40.78993988,-73.99254608,40.75163651
-73.9414978,40.67725372,-73.9569397,40.66953659
-73.95801544,40.72176743,-73.95359039,40.71566772
-73.85443878,40.8362236,-73.85404968,40.82594681
-73.9640274,40.67927933,-73.96283722,40.6728363
-73.99372101,40.68701172,-73.94024658,40.83547974
-73.88284302,40.74783325,-73.88935852,40.73955917
-73.95204926,40.7900238,-73.90995789,40.69468689
-73.93975067,40.794384,-73.95296478,40.77647018
-73.83184052,40.76261139,-73.87260437,40.75895309
-73.93079376,40.84834671,-73.93080139,40.84834671
-73.96046448,40.71529388,-73.96194458,40.71002197
-73.94942474,40.68045044,-73.94180298,40.67481995
-73.94452667,40.68628311,-73.96091461,40.67609024
-73.98150635,40.65893173,-74.0098877,40.64318085
-73.98059845,40.67624664,-73.97288513,40.6354866
-73.9516983,40.72342682,-73.94406128,40.70224762
-73.95165253,40.81206131,-74.00377655,40.75083542
-73.89077759,40.67263794,-73.89414978,40.65772629
-73.92350769,40.69286728,-73.98725128,40.72047424
-73.95245361,40.82352066,-73.9402771,40.83514786
-73.95601654,40.71240234,-73.97967529,40.7453537
-73.99571228,40.68309784,-73.98482513,40.74228668
-73.95006561,40.79292297,-73.94032288,40.78973389
-73.96169281,40.66220093,-73.94830322,40.67769241
-73.95933533,40.72055054,-73.96212006,40.71483231
-73.89134979,40.7469902,-73.88419342,40.7476387
